"last_name, first_name",year,home_run,k_percent,barrel_batted_rate,hard_hit_percent,lack_of_run_support,p_unearned_run
"Adleman, Tim",2017,29,20.3,7.9,32.7,False,4
"Alcantara, Sandy",2019,23,18.0,6.5,34.3,True,9
"Alcantara, Sandy",2021,21,24.0,6.1,39.4,True,12
"Alcantara, Sandy",2022,16,23.4,5.3,38.5,False,9
"Alcantara, Sandy",2023,22,19.8,7.0,40.6,False,6
"Allard, Kolby",2021,29,19.5,10.6,39.0,False,5
"Allen, Logan",2023,16,22.2,7.6,39.1,True,2
"Alzolay, Adbert",2021,25,24.7,9.9,38.1,False,2
"Anderson, Brett",2015,18,15.5,4.1,32.9,True,8
"Anderson, Brett",2019,20,12.1,7.3,40.0,False,4
"Anderson, Brett",2020,6,15.8,6.4,48.1,False,2
"Anderson, Chase",2015,18,17.3,5.2,31.1,False,2
"Anderson, Chase",2016,28,18.5,8.7,30.0,False,9
"Anderson, Chase",2017,14,23.4,4.4,26.0,False,4
"Anderson, Chase",2018,30,19.9,8.8,30.8,True,2
"Anderson, Chase",2019,23,20.9,6.3,32.9,False,2
"Anderson, Ian",2021,16,23.2,9.5,38.7,False,0
"Anderson, Tyler",2018,30,22.3,5.7,31.4,False,5
"Anderson, Tyler",2020,5,15.8,5.8,31.1,False,3
"Anderson, Tyler",2021,27,19.1,8.5,33.0,False,3
"Anderson, Tyler",2022,14,19.5,4.9,28.5,False,6
"Anderson, Tyler",2023,20,18.9,8.2,32.3,False,5
"Andriese, Matt",2016,17,20.7,7.2,41.2,False,2
"Archer, Chris",2015,19,29.0,4.6,39.1,True,9
"Archer, Chris",2016,30,27.4,8.4,40.5,True,10
"Archer, Chris",2017,27,29.2,5.9,40.2,False,10
"Archer, Chris",2018,19,25.4,6.4,38.7,False,6
"Archer, Chris",2019,25,27.2,10.5,39.5,False,4
"Arrieta, Jake",2015,10,27.1,2.2,24.7,False,7
"Arrieta, Jake",2016,16,23.9,4.8,29.6,False,4
"Arrieta, Jake",2017,23,23.1,5.6,33.3,False,16
"Arrieta, Jake",2018,21,19.1,5.6,31.7,True,17
"Arrieta, Jake",2019,21,18.5,6.8,37.6,False,6
"Arrieta, Jake",2020,6,16.8,7.8,38.3,False,0
"Ashcraft, Graham",2023,23,17.8,6.9,38.9,False,1
"Bailey, Homer",2019,21,21.4,5.7,39.5,False,1
"Barria, Jaime",2018,17,18.2,7.3,33.2,True,1
"Bassitt, Chris",2019,21,23.0,4.9,31.7,False,5
"Bassitt, Chris",2020,6,21.1,5.9,37.4,False,2
"Bassitt, Chris",2021,15,25.0,6.5,33.2,False,0
"Bassitt, Chris",2022,19,22.4,6.6,32.8,False,2
"Bassitt, Chris",2023,28,22.5,8.3,35.3,False,8
"Bauer, Trevor",2015,23,22.8,5.9,33.9,False,1
"Bauer, Trevor",2016,20,20.7,5.7,39.7,False,6
"Bauer, Trevor",2017,25,26.2,7.8,39.2,False,2
"Bauer, Trevor",2018,9,30.8,4.4,29.1,False,8
"Bauer, Trevor",2019,34,27.8,8.6,37.7,False,12
"Bauer, Trevor",2020,9,36.0,6.3,38.0,True,3
"Beede, Tyler",2019,22,21.6,8.4,44.3,False,4
"Bello, Brayan",2023,24,19.8,7.0,44.3,False,3
"Berríos, José",2017,15,22.6,5.0,29.1,False,8
"Berríos, José",2018,25,25.3,6.0,34.4,True,1
"Berríos, José",2019,26,23.2,6.5,32.0,False,12
"Berríos, José",2020,8,25.1,6.3,39.7,True,0
"Berríos, José",2021,22,26.1,9.1,38.3,True,8
